score	omim	nom	n_hpo	n_hpo_foetal	n_onset_prenatal	signes_lourds	orpha	dans_syndromes
11.2	OMIM:619695	Rauch-Steindl syndrome	45	32	0	HP:0000252;HP:0001511;HP:0002240;HP:0004322	ORPHA:659642	
11.2	OMIM:618651	Neurodevelopmental disorder with spastic quadriplegia, optic atrophy, seizures, and structural brain anomalies	32	22	3	HP:0000776;HP:0001274;HP:0001511	—	
11.2	OMIM:616920	Heart and brain malformation syndrome	40	32	0	HP:0000252;HP:0001250;HP:0001561;HP:0001629	—	
11.2	OMIM:615182	Combined D-2- and L-2-hydroxyglutaric aciduria	24	12	0	HP:0000252;HP:0001250;HP:0001321;HP:0002093;HP:0002240	ORPHA:356978	
11.2	OMIM:613990	Dyskeratosis congenita, autosomal dominant 3	43	32	0	HP:0000252;HP:0001321;HP:0001511;HP:0004322	ORPHA:1775,ORPHA:3322	
11.2	OMIM:612015	Congenital disorder of glycosylation, type In	27	12	0	HP:0000252;HP:0001250;HP:0002093;HP:0002240;HP:0004322	ORPHA:244310	
11.2	OMIM:219200	Cutis laxa, autosomal recessive, type IIA	41	32	0	HP:0000252;HP:0001250;HP:0001511;HP:0002007	ORPHA:357058,ORPHA:357074	
11.1	OMIM:620330	Intellectual developmental disorder, autosomal dominant 71, with behavioral abnormalities	75	51	0	HP:0000252;HP:0001629;HP:0002007	—	
11.1	OMIM:618348	Galloway-Mowat syndrome 7	38	31	0	HP:0000175;HP:0000252;HP:0001629;HP:0004322	ORPHA:2065	
11.1	OMIM:617763	Short stature, hearing loss, retinitis pigmentosa, and distinctive facies	43	31	0	HP:0000821;HP:0001156;HP:0001321;HP:0004322	ORPHA:494439	
11.1	OMIM:616503	Lethal congenital contracture syndrome 9	36	31	0	HP:0001511;HP:0001558;HP:0001561;HP:0002089	—	
11.1	OMIM:616211	Developmental and epileptic encephalopathy 28	50	31	0	HP:0000252;HP:0001250;HP:0001558;HP:0002007	ORPHA:708171	
11.1	OMIM:615731	Nemaline myopathy 9	15	11	0	HP:0000175;HP:0001561;HP:0001629;HP:0001989;HP:0002093	ORPHA:171430,ORPHA:171433,ORPHA:171436,ORPHA:171439	
11.1	OMIM:614921	Congenital disorder of glycosylation, type It	47	31	0	HP:0000175;HP:0001629;HP:0002240;HP:0004322	ORPHA:319646	
11.1	OMIM:301072	Neurodevelopmental disorder with epilepsy and hemochromatosis	47	31	0	HP:0000252;HP:0001250;HP:0001744;HP:0002240	ORPHA:397922	
11.1	OMIM:300219	Myotubular myopathy with abnormal genital development	27	21	1	HP:0001522;HP:0001558;HP:0001561;HP:0003811	ORPHA:456328	
11.1	OMIM:225400	Ehlers-Danlos syndrome, kyphoscoliotic type, 1	55	41	3	HP:0001558;HP:0002093	ORPHA:1900	
11.1	OMIM:220111	Mitochondrial complex IV deficiency, nuclear type 5, (French-Canadian)	75	51	0	HP:0000252;HP:0001250;HP:0001522	ORPHA:70472	
11.1	OMIM:178110	Contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A	35	31	0	HP:0000175;HP:0000252;HP:0001629;HP:0004322	ORPHA:65743	
11.0	OMIM:620155	Rabin-Pappas syndrome	41	30	0	HP:0000238;HP:0000252;HP:0001250;HP:0001321	ORPHA:597743	
11.0	OMIM:615802	Neurodevelopmental disorder with dysmorphic features, spasticity, and brain abnormalities	59	30	0	HP:0000252;HP:0001250;HP:0001274;HP:0004322	ORPHA:401820,ORPHA:88616	
11.0	OMIM:611890	Congenital arthrogryposis with anterior horn cell disease	44	30	0	HP:0000252;HP:0001250;HP:0001989;HP:0003811	ORPHA:53696	
11.0	OMIM:301310	Anemia, sideroblastic, and spinocerebellar ataxia	56	30	0	HP:0001250;HP:0001321;HP:0001511;HP:0004322	ORPHA:2802	dans syndromes
10.9	OMIM:619525	Congenital disorder of glycosylation, type IIw	66	49	0	HP:0001629;HP:0001744;HP:0002240	—	
10.9	OMIM:618804	Sandestig-Stefanova syndrome	35	29	2	HP:0000202;HP:0001511;HP:0001558	ORPHA:729761	
10.9	OMIM:618332	Menke-Hennekam syndrome 1	64	49	0	HP:0000175;HP:0001250;HP:0002000	ORPHA:592574	
10.9	OMIM:615668	Chromosome 5q12 deletion syndrome	43	29	0	HP:0001250;HP:0001629;HP:0001631;HP:0002007	ORPHA:439822	
10.9	OMIM:615656	Chromosome 15q11.2 deletion syndrome	53	29	0	HP:0000175;HP:0001250;HP:0001627;HP:0004322	ORPHA:261183	
10.9	OMIM:614399	Myopathy, areflexia, respiratory distress, and dysphagia, early-onset	36	19	1	HP:0000175;HP:0001250;HP:0001558;HP:0002093	ORPHA:439212	
10.8	OMIM:619980	Braddock-Carey syndrome 1	34	28	0	HP:0000175;HP:0000252;HP:0001274;HP:0001629	ORPHA:261323	
10.8	OMIM:618961	Spondylometaphyseal dysplasia with corneal dystrophy	24	18	7	HP:0001156	ORPHA:589435	
10.8	OMIM:618050	Intellectual developmental disorder, autosomal dominant 57	53	28	0	HP:0000252;HP:0001156;HP:0001250;HP:0004322	ORPHA:720321	
10.8	OMIM:616202	Cerebellofaciodental syndrome	40	28	0	HP:0000252;HP:0001321;HP:0001629;HP:0004322	ORPHA:444072	
10.8	OMIM:613404	Arthrogryposis, renal dysfunction, and cholestasis 2	32	28	0	HP:0000252;HP:0001522;HP:0001629;HP:0002240	ORPHA:2697	
10.8	OMIM:607906	Congenital disorder of glycosylation, type Ii	45	28	0	HP:0000252;HP:0000821;HP:0002240;HP:0004322	ORPHA:79326	
10.8	OMIM:301066	Intellectual developmental disorder, X-linked, syndromic, with pigmentary mosaicism and coarse facies	62	38	1	HP:0000175;HP:0001250;HP:0002240	ORPHA:717846	
10.8	OMIM:278250	Wrinkly skin syndrome	57	48	0	HP:0000252;HP:0001511;HP:0004322	ORPHA:2834,ORPHA:357058	
10.8	OMIM:269921	Sialuria	37	28	0	HP:0001250;HP:0001744;HP:0002007;HP:0002240	ORPHA:3166	
10.8	OMIM:235510	Hennekam lymphangiectasia-lymphedema syndrome	64	48	0	HP:0001250;HP:0001629;HP:0001631	ORPHA:2136	dans syndromes
10.8	OMIM:218340	Temtamy syndrome	37	28	0	HP:0001156;HP:0001250;HP:0001274;HP:0002007	ORPHA:1777	
10.7	OMIM:615895	Polyglucosan body myopathy 1 with or without immunodeficiency	41	27	0	HP:0001250;HP:0001395;HP:0001744;HP:0002240	ORPHA:329173,ORPHA:397937	dans syndromes
10.7	OMIM:608572	Burn-Mckeown syndrome	32	27	0	HP:0000175;HP:0001629;HP:0001631;HP:0004322	ORPHA:1200	
10.7	OMIM:601701	Arthrogryposis and ectodermal dysplasia	30	27	0	HP:0000175;HP:0000202;HP:0000252;HP:0004322	ORPHA:3200	
10.7	OMIM:251880	Mitochondrial DNA depletion syndrome 3 (hepatocerebral type)	39	27	0	HP:0000252;HP:0001250;HP:0001744;HP:0002240	ORPHA:279934	
10.6	OMIM:621224	Ectodermal dysplasia 17 with or without limb malformations	57	46	0	HP:0001631;HP:0004322;HP:0100258	ORPHA:708043	
10.6	OMIM:620156	Cortical dysplasia, complex, with other brain malformations 11	32	26	0	HP:0000238;HP:0001156;HP:0001250;HP:0001274	—	
10.6	OMIM:619762	Kury-Isidor syndrome	43	26	0	HP:0001156;HP:0001250;HP:0001629;HP:0002007	ORPHA:528084	dans syndromes
10.6	OMIM:617895	Short-Rib thoracic dysplasia 19 with or without polydactyly	29	26	2	HP:0001156;HP:0001629;HP:0002089	—	
10.6	OMIM:615834	Intellectual developmental disorder, autosomal dominant 26	48	36	1	HP:0000252;HP:0001511;HP:0004322	ORPHA:352490	
10.6	OMIM:610498	Combined oxidative phosphorylation deficiency 2	22	16	3	HP:0001156;HP:0001274;HP:0003811	ORPHA:254920	
10.6	OMIM:603671	Acromelic frontonasal dysostosis	58	46	0	HP:0000175;HP:0001250;HP:0001274	ORPHA:1827	
10.6	OMIM:301111	Intellectual developmental disorder, X-linked 112	43	26	0	HP:0000107;HP:0000252;HP:0001627;HP:0004322	—	
10.5	OMIM:620565	Immunodeficiency 133 with autoimmunity and autoinflammation	35	25	0	HP:0001511;HP:0001744;HP:0002240;HP:0004322	—	
10.5	OMIM:620025	Diaphragmatic hernia 4, with cardiovascular defects	30	25	0	HP:0001561;HP:0001629;HP:0002089;HP:0002240	—	
10.5	OMIM:619297	KINSSHIP syndrome	63	45	0	HP:0000252;HP:0001522;HP:0004322	ORPHA:632603	
10.5	OMIM:618492	Neurodevelopmental disorder with microcephaly and structural brain anomalies	31	15	1	HP:0000252;HP:0001250;HP:0001274;HP:0004322	—	
10.5	OMIM:617930	Chromosome 1p35 deletion syndrome	43	25	0	HP:0000252;HP:0001250;HP:0001511;HP:0004322	ORPHA:456298	
10.5	OMIM:617180	Chitayat syndrome	39	25	0	HP:0001156;HP:0001561;HP:0002000;HP:0004322	ORPHA:726700	
10.5	OMIM:614924	Combined oxidative phosphorylation deficiency 12	37	25	0	HP:0000175;HP:0001250;HP:0001274;HP:0002240	ORPHA:314051	
10.5	OMIM:614388	Encephalopathy due to defective mitochondrial and peroxisomal fission 1	42	25	0	HP:0000252;HP:0001250;HP:0001522;HP:0001558	ORPHA:330050,ORPHA:527276	
10.5	OMIM:614098	Keppen-Lubinsky syndrome	36	25	0	HP:0000252;HP:0001250;HP:0001561;HP:0002093	ORPHA:435628	
10.5	OMIM:613630	Fetal encasement syndrome	21	15	3	HP:0000202;HP:0000776;HP:0001558	ORPHA:465824	
10.5	OMIM:277470	Pontocerebellar hypoplasia, type 2A	26	15	1	HP:0000252;HP:0001250;HP:0001321;HP:0001561	ORPHA:2524	
10.4	OMIM:621261	Cardiomyopathy, dilated, 2M, autosomal recessive	38	24	0	HP:0001511;HP:0001558;HP:0001561;HP:0001789	—	
10.4	OMIM:620083	Neurodevelopmental disorder with craniofacial dysmorphism and skeletal defects	60	44	0	HP:0000252;HP:0001250;HP:0004322	ORPHA:662207	
10.4	OMIM:619322	Marbach-Rustad progeroid syndrome	33	24	2	HP:0000252;HP:0001511;HP:0004322	ORPHA:659873	
10.4	OMIM:617527	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies	67	44	0	HP:0001250;HP:0001561;HP:0002093	ORPHA:521426	
10.4	OMIM:617468	Arthrogryposis multiplex congenita, neurogenic, with myelin defect	31	24	0	HP:0001558;HP:0001989;HP:0002089;HP:0003826	ORPHA:2680	
10.4	OMIM:617333	Intellectual developmental disorder with dysmorphic facies and ptosis	38	24	0	HP:0000252;HP:0001250;HP:0001511;HP:0004322	ORPHA:698090	
10.4	OMIM:614162	Immunodeficiency 31C	42	24	0	HP:0000821;HP:0001744;HP:0002240;HP:0004322	ORPHA:391487	
10.4	OMIM:613458	Chromosome 16p13.3 duplication syndrome	72	64	0	HP:0001629;HP:0001631	ORPHA:96078	
10.4	OMIM:613156	Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 2	35	24	2	HP:0000252;HP:0001321;HP:0002093	ORPHA:370959,ORPHA:370968	
10.4	OMIM:612513	Chromosome 2p16.1-p15 deletion syndrome	61	44	0	HP:0000252;HP:0001511;HP:0004322	ORPHA:261349	
10.4	OMIM:610127	Ceroid lipofuscinosis, neuronal, 10	31	14	1	HP:0000252;HP:0001250;HP:0002093;HP:0003811	ORPHA:228337,ORPHA:700487,ORPHA:700492,ORPHA:700497	
10.4	OMIM:609296	B-cell immunodeficiency, distal limb anomalies, and urogenital malformations	101	64	0	HP:0000252;HP:0001250	ORPHA:567502	
10.4	OMIM:300884	Epileptic encephalopathy, early infantile, 36	37	24	0	HP:0000238;HP:0000252;HP:0001250;HP:0002240	ORPHA:324422	
10.4	OMIM:252160	Molybdenum cofactor deficiency, complementation group B	43	24	0	HP:0000252;HP:0001250;HP:0002007;HP:0003811	ORPHA:308393,ORPHA:833,ORPHA:99732	
10.4	OMIM:224410	Dyssegmental dysplasia, Silverman-Handmaker type	27	24	0	HP:0000252;HP:0002089;HP:0002093;HP:0003811	ORPHA:1865	
10.3	OMIM:621056	TIMES syndrome	38	23	0	HP:0000252;HP:0000821;HP:0001250;HP:0004322	—	
10.3	OMIM:619504	Chopra-Amiel-Gordon syndrome	35	23	0	HP:0000175;HP:0000252;HP:0001250;HP:0004322	ORPHA:717823	
10.3	OMIM:618316	Intellectual developmental disorder with cardiac defects and dysmorphic facies	60	43	0	HP:0001629;HP:0001631;HP:0002089	ORPHA:562569	
10.3	OMIM:616459	Al-Raqad syndrome	24	13	1	HP:0000252;HP:0001156;HP:0001250;HP:0001631	—	
10.3	OMIM:614749	Hyperphosphatasia with impaired intellectual development syndrome 2	33	23	0	HP:0000175;HP:0000252;HP:0001250;HP:0001631	ORPHA:247262	
10.3	OMIM:613989	Dyskeratosis congenita, autosomal dominant 2	33	23	0	HP:0000252;HP:0001321;HP:0001395;HP:0004322	ORPHA:1775	
10.3	OMIM:611087	Polyhydramnios, megalencephaly, and symptomatic epilepsy	32	23	0	HP:0001250;HP:0001561;HP:0001622;HP:0001631	ORPHA:500533	
10.3	OMIM:300953	Trichothiodystrophy 5, nonphotosensitive	34	23	0	HP:0000252;HP:0001321;HP:0001511;HP:0004322	ORPHA:33364	
10.3	OMIM:272440	Filippi syndrome	32	23	0	HP:0000252;HP:0001250;HP:0001511;HP:0001629	ORPHA:3255	
10.3	OMIM:135500	Zimmermann-Laband syndrome 1	54	43	0	HP:0001250;HP:0001744;HP:0002240	ORPHA:3473	
10.2	OMIM:619847	Neurodegeneration, childhood-onset, with progressive microcephaly	44	22	0	HP:0000252;HP:0001250;HP:0001561;HP:0004322	—	
10.2	OMIM:300558	Intellectual developmental disorder, X-linked 30	40	22	0	HP:0000238;HP:0000252;HP:0001250;HP:0004322	ORPHA:528084	dans syndromes
10.2	OMIM:300472	Corpus callosum, agenesis of, with impaired intellectual development, ocular coloboma and micrognathia	33	22	2	HP:0001274;HP:0001629;HP:0004322	ORPHA:52055	
10.2	OMIM:300004	Corpus callosum, agenesis of, with abnormal genitalia	32	22	0	HP:0000252;HP:0001250;HP:0001274;HP:0004322	ORPHA:2508	
10.2	OMIM:266265	Congenital disorder of glycosylation, type IIc	37	22	0	HP:0000252;HP:0001156;HP:0002090;HP:0004322	ORPHA:2968,ORPHA:99843	
10.2	OMIM:255995	Congenital myopathy 13	42	32	1	HP:0000175;HP:0000252;HP:0004322	ORPHA:168572	
10.1	OMIM:621512	Meier-Gorlin syndrome 9	54	41	0	HP:0001511;HP:0001622;HP:0004322	—	
10.1	OMIM:619303	Pontocerebellar hypoplasia, type 1E	16	11	3	HP:0001321;HP:0001522;HP:0001561	ORPHA:2254	
10.1	OMIM:619123	Cardiofacioneurodevelopmental syndrome	25	21	0	HP:0000175;HP:0000252;HP:0001156;HP:0001629	—	
10.1	OMIM:619046	Mitochondrial complex IV deficiency, nuclear type 3	33	21	4	HP:0001522;HP:0001744	ORPHA:254905	
10.1	OMIM:617822	Alkuraya-Kucinskas syndrome	52	41	0	HP:0000238;HP:0001250;HP:0001321	ORPHA:610569	
10.1	OMIM:617746	Sweeney-Cox syndrome	51	41	0	HP:0001321;HP:0001561;HP:0002000	—	
10.1	OMIM:615512	Triosephosphate isomerase deficiency	37	21	0	HP:0001522;HP:0001562;HP:0001744;HP:0002093	ORPHA:868	
10.1	OMIM:615486	Interstitial lung and liver disease	32	21	0	HP:0000821;HP:0001395;HP:0002093;HP:0002240	ORPHA:440427	
10.1	OMIM:605013	MICROHYDRANENCEPHALY	31	21	0	HP:0000252;HP:0001274;HP:0001321;HP:0004322	ORPHA:2177,ORPHA:443162	
10.1	OMIM:300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration	51	41	0	HP:0001156;HP:0001250;HP:0004322	ORPHA:83629	
10.0	OMIM:619013	Rajab interstitial lung disease with brain calcifications 2	27	20	0	HP:0000252;HP:0000821;HP:0001562;HP:0004322	ORPHA:178506	
10.0	OMIM:618226	Mitochondrial complex I deficiency, nuclear type 5	42	20	0	HP:0000252;HP:0001250;HP:0002093;HP:0002240	ORPHA:2609	
10.0	OMIM:617713	Combined oxidative phosphorylation deficiency 33	31	20	0	HP:0000821;HP:0001511;HP:0001562;HP:0002240	—	
10.0	OMIM:617146	Arthrogryposis, distal, with impaired proprioception and touch	35	20	4	HP:0002093;HP:0004322	ORPHA:707937	
10.0	OMIM:617052	Bone marrow failure syndrome 3	59	40	0	HP:0000252;HP:0001511;HP:0004322	—	
10.0	OMIM:615636	Joubert syndrome 21	35	20	0	HP:0000107;HP:0001250;HP:0001744;HP:0002089	ORPHA:397715,ORPHA:475	
10.0	OMIM:614188	Craniosynostosis and dental anomalies	49	40	0	HP:0001250;HP:0002007;HP:0004322	ORPHA:284149	
10.0	OMIM:614019	Lissencephaly 4	18	10	1	HP:0001250;HP:0001274;HP:0001321;HP:0004322	ORPHA:1083	
10.0	OMIM:613451	Frontonasal dysplasia 2	52	40	0	HP:0000252;HP:0001511;HP:0001562	ORPHA:228390	
10.0	OMIM:300863	Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia	23	20	0	HP:0000238;HP:0001511;HP:0002007;HP:0004322	ORPHA:163966	
9.9	OMIM:619777	Developmental and epileptic encephalopathy 100	67	39	0	HP:0001156;HP:0001250;HP:0001558	ORPHA:442835	
9.9	OMIM:618076	Neurodevelopmental disorder with spasticity and poor growth	69	39	0	HP:0001250;HP:0001321;HP:0004322	—	
9.9	OMIM:615348	Nemaline myopathy 8	14	9	1	HP:0001522;HP:0001558;HP:0001561;HP:0001989	ORPHA:171430	
9.9	OMIM:610717	Neutral lipid storage disease with myopathy	33	19	0	HP:0000252;HP:0001744;HP:0002240;HP:0004322	ORPHA:98908	
9.9	OMIM:253300	Spinal muscular atrophy, type I	18	9	1	HP:0001558;HP:0001629;HP:0001631;HP:0002093	ORPHA:70,ORPHA:83330	
9.9	OMIM:240300	Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia	79	49	1	HP:0000821;HP:0001250	ORPHA:3453	
9.9	OMIM:202650	Agnathia-Otocephaly complex	25	19	0	HP:0000175;HP:0001274;HP:0001561;HP:0002089	ORPHA:990	
9.8	OMIM:621390	Neurodevelopmental disorder with early-onset seizures, facial dysmorphism, and behavioral abnormalities	79	38	0	HP:0000252;HP:0001250;HP:0001631	—	
9.8	OMIM:620719	Neurodevelopmental disorder with motor abnormalities, seizures, and facial dysmorphism	53	38	0	HP:0000252;HP:0001511;HP:0004322	ORPHA:589515	
9.8	OMIM:618775	Mitochondrial complex III deficiency, nuclear type 10	24	18	4	HP:0001511;HP:0001629	ORPHA:1460	
9.8	OMIM:618330	Global developmental delay with or without impaired intellectual development	27	18	0	HP:0001629;HP:0001631;HP:0002007;HP:0004322	ORPHA:178469	
9.8	OMIM:618325	Lissencephaly 9 with complex brainstem malformation	38	18	0	HP:0000252;HP:0001250;HP:0001629;HP:0004322	ORPHA:572013	
9.8	OMIM:617403	Cutis laxa, autosomal recessive, type IID	47	38	0	HP:0001250;HP:0001629;HP:0001631	ORPHA:357074	
9.8	OMIM:615398	Multiple congenital anomalies-hypotonia-seizures syndrome 3	57	38	0	HP:0000107;HP:0001250;HP:0001321	ORPHA:369837	
9.8	OMIM:614947	Combined oxidative phosphorylation deficiency 15	36	18	0	HP:0000252;HP:0001250;HP:0001629;HP:0004322	ORPHA:319524	
9.8	OMIM:614756	Cerebellar dysfunction with variable cognitive and behavioral abnormalities	64	38	0	HP:0001250;HP:0001321;HP:0004322	ORPHA:314647	
9.8	OMIM:612462	Pseudohypoparathyroidism, type IC	29	18	0	HP:0000821;HP:0001156;HP:0001250;HP:0004322	ORPHA:79444	
9.8	OMIM:603358	Gracile syndrome	9	8	7	HP:0001511	ORPHA:53693	
9.8	OMIM:300707	STAR syndrome	43	38	0	HP:0001511;HP:0001631;HP:0004322	ORPHA:140952	
9.8	OMIM:230650	GM1-gangliosidosis, type III	29	18	0	HP:0001250;HP:0001744;HP:0002240;HP:0004322	ORPHA:354,ORPHA:79257	
9.8	OMIM:208530	Right atrial isomerism (Ivemark)	21	18	2	HP:0001274;HP:0001629;HP:0001631	ORPHA:97548	
9.7	OMIM:620455	Neurodevelopmental disorder with hypotonia and speech delay, with or without seizures	77	37	0	HP:0000252;HP:0001250;HP:0004322	ORPHA:528084	dans syndromes
9.7	OMIM:619273	Cimdag syndrome	35	17	0	HP:0000252;HP:0001250;HP:0001321;HP:0002240	ORPHA:603448	
9.7	OMIM:619149	Lessel-Kreienkamp syndrome	36	17	2	HP:0001250;HP:0001631;HP:0002007	ORPHA:528084	dans syndromes
9.7	OMIM:618590	Neurodevelopmental disorder with brain anomalies, seizures, and scoliosis	51	37	0	HP:0000238;HP:0001250;HP:0001321	—	
9.7	OMIM:617668	Encephalopathy, neonatal severe, with lactic acidosis and brain abnormalities	30	17	0	HP:0000252;HP:0001250;HP:0001522;HP:0002093	ORPHA:447795	
9.7	OMIM:615032	Intellectual developmental disorder with autism and macrocephaly	82	37	0	HP:0000821;HP:0001250;HP:0001561	ORPHA:642675	
9.7	OMIM:614299	Multiple mitochondrial dysfunctions syndrome 2 with hyperglycinemia	36	17	0	HP:0001250;HP:0001522;HP:0002093;HP:0002240	ORPHA:401874	
9.7	OMIM:613320	Spondylometaphyseal dysplasia, Megarbane-Dagher-Melki type	44	37	0	HP:0001522;HP:0002007;HP:0004322	ORPHA:401979	
9.7	OMIM:613174	Chromosome 5p13 duplication syndrome	46	37	0	HP:0001250;HP:0001274;HP:0002007	ORPHA:329802	
9.7	OMIM:613026	Chromosome 19q13.11 deletion syndrome, distal	51	37	0	HP:0000252;HP:0001511;HP:0004322	ORPHA:217346	
9.7	OMIM:601675	Trichothiodystrophy 1, photosensitive	48	37	0	HP:0000252;HP:0001522;HP:0004322	ORPHA:33364,ORPHA:670	dans syndromes
9.7	OMIM:300960	Mend syndrome	46	37	0	HP:0000238;HP:0001250;HP:0004322	ORPHA:401973	
9.7	OMIM:256030	Nemaline myopathy 2, autosomal recessive	59	37	0	HP:0000175;HP:0001558;HP:0001561	ORPHA:171430,ORPHA:171433,ORPHA:171436,ORPHA:171439,ORPHA:399103	
9.7	OMIM:213300	Joubert syndrome 1	54	37	0	HP:0000107;HP:0000252;HP:0001395	ORPHA:475	
9.6	OMIM:621469	Moyamoya disease 8	30	16	0	HP:0001250;HP:0001511;HP:0002000;HP:0004322	ORPHA:2573	
9.6	OMIM:619462	Hemolytic disease of fetus and newborn, RH-induced	8	6	1	HP:0001561;HP:0001744;HP:0001789;HP:0002240	ORPHA:71275	
9.6	OMIM:616867	Spinal muscular atrophy with congenital bone fractures 2	25	16	0	HP:0001558;HP:0001561;HP:0001622;HP:0002089	ORPHA:486811	
9.6	OMIM:612626	Chromosome 15q26-qter deletion syndrome	22	16	0	HP:0000252;HP:0001156;HP:0001511;HP:0004322	ORPHA:1596	
9.6	OMIM:251270	Microcephaly and chorioretinopathy, autosomal recessive, 1	23	16	0	HP:0000252;HP:0001250;HP:0001321;HP:0004322	ORPHA:2518	
9.6	OMIM:179613	Recombinant chromosome 8 syndrome	46	36	0	HP:0001250;HP:0001629;HP:0001631	ORPHA:96167	
9.5	OMIM:619909	Pontocerebellar hypoplasia, type 17	28	15	0	HP:0001250;HP:0001511;HP:0001629;HP:0002093	ORPHA:728521	
9.5	OMIM:618905	Silver-Russell syndrome 2	18	15	2	HP:0001511;HP:0002007;HP:0004322	—	
9.5	OMIM:617796	Intellectual developmental disorder, autosomal dominant 52	59	35	0	HP:0000252;HP:0000821;HP:0001250	ORPHA:178469	
9.5	OMIM:617201	Periventricular nodular heterotopia 7	57	35	0	HP:0000175;HP:0001250;HP:0001629	ORPHA:2149,ORPHA:98892	
9.5	OMIM:616878	Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration	61	35	0	HP:0000252;HP:0000821;HP:0001250	ORPHA:480864	
9.5	OMIM:616287	Lethal congenital contracture syndrome 8	20	15	0	HP:0001522;HP:0001558;HP:0001561;HP:0003811	ORPHA:2680	
9.5	OMIM:615438	Infantile liver failure syndrome 1	21	15	0	HP:0000252;HP:0001250;HP:0002007;HP:0002240	ORPHA:370088	
9.5	OMIM:615351	Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 14	28	15	0	HP:0000252;HP:0001250;HP:0001321;HP:0001558	ORPHA:370959,ORPHA:370968	
9.5	OMIM:615286	Neurodevelopmental disorder with brain abnormalities, poor growth, and dysmorphic facies	26	15	0	HP:0000252;HP:0001250;HP:0001274;HP:0004322	ORPHA:363528	
9.5	OMIM:613489	Congenital disorder of glycosylation, type IIj	29	15	0	HP:0000252;HP:0001250;HP:0001744;HP:0002240	ORPHA:263501	
9.5	OMIM:607812	Craniolenticulosutural dysplasia	43	35	0	HP:0000175;HP:0002007;HP:0004322	ORPHA:50814	
9.5	OMIM:300354	Intellectual developmental disorder, X-linked syndromic, Cabezas type	49	35	0	HP:0001156;HP:0001250;HP:0004322	ORPHA:85293	
9.4	OMIM:621377	Harel-Tora neurodevelopmental syndrome	85	54	0	HP:0000252;HP:0001250	—	
9.4	OMIM:621372	Neurodevelopmental disorder with speech delay and behavioral abnormalities	62	34	0	HP:0000252;HP:0001629;HP:0004322	—	
9.4	OMIM:621328	Neurodevelopmental disorder with achalasia, polyneuropathy, and alacrima	72	34	0	HP:0000252;HP:0001250;HP:0004322	—	
9.4	OMIM:621199	Neurodevelopmental disorder with ataxia and brain abnormalities	62	34	0	HP:0000252;HP:0001250;HP:0002240	—	
9.4	OMIM:620250	Neurodevelopmental disorder with seizures, spasticity, and complete or partial agenesis of the corpus callosum	53	34	0	HP:0001250;HP:0001274;HP:0002007	—	
9.4	OMIM:619539	Neuroocular syndrome	75	54	0	HP:0000252;HP:0004322	ORPHA:659904	
9.4	OMIM:619423	Combined oxidative phosphorylation deficiency 53	24	14	0	HP:0001250;HP:0001522;HP:0002240;HP:0004322	—	
9.4	OMIM:619302	Pontocerebellar hypoplasia, type 15	26	14	0	HP:0000238;HP:0001274;HP:0001321;HP:0001522	—	
9.4	OMIM:617864	Neurodevelopmental disorder with or without seizures and gait abnormalities	32	14	2	HP:0000252;HP:0001250;HP:0004322	ORPHA:528084	dans syndromes
9.4	OMIM:616737	Takenouchi-Kosaki syndrome	66	54	0	HP:0001250;HP:0001321	ORPHA:487796	
9.4	OMIM:610031	Cortical dysplasia, complex, with other brain malformations 7	26	14	0	HP:0000252;HP:0001250;HP:0001274;HP:0001321	ORPHA:300573	
9.4	OMIM:601539	Peroxisome biogenesis disorder 1B	20	14	0	HP:0000107;HP:0001250;HP:0001395;HP:0002240	ORPHA:44,ORPHA:772,ORPHA:79189	
9.4	OMIM:301133	Congenital disorder of glycosylation, type 1DD	31	14	0	HP:0001250;HP:0001744;HP:0002093;HP:0002240	—	
9.4	OMIM:300519	Martin-Probst syndrome	29	24	1	HP:0000252;HP:0000821;HP:0004322	ORPHA:85321	
9.4	OMIM:260600	Leukodystrophy, hypomyelinating, 3	29	14	0	HP:0000252;HP:0001250;HP:0001522;HP:0001622	ORPHA:280270,ORPHA:280293	
9.4	OMIM:247990	Macdermot-Winter syndrome	17	14	0	HP:0000252;HP:0001250;HP:0001511;HP:0001522	ORPHA:2083	
9.3	OMIM:620683	Lipodystrophy, familial partial, type 9	49	33	0	HP:0000821;HP:0002240;HP:0004322	ORPHA:686999	
9.3	OMIM:619542	King-Denborough syndrome	42	33	0	HP:0001558;HP:0001629;HP:0004322	ORPHA:99741	
9.3	OMIM:619301	Pontocerebellar hypoplasia, type 14	24	13	0	HP:0000238;HP:0001274;HP:0001321;HP:0001522	ORPHA:613274	
