score	omim	nom	n_hpo	n_hpo_foetal	n_onset_prenatal	signes_lourds	orpha	dans_syndromes
5.4	OMIM:616860	Anemia, sideroblastic, 3, pyridoxine-refractory	16	14	0	HP:0001744;HP:0002240	ORPHA:255132	
5.4	OMIM:616579	Intellectual developmental disorder, autosomal dominant 40	44	24	1	HP:0000252	ORPHA:178469,ORPHA:692193	
5.4	OMIM:616281	Neurodevelopmental disorder with microcephaly and spastic paraplegia	28	14	0	HP:0000252;HP:0001250	ORPHA:477673	
5.4	OMIM:616154	Peroxisomal fatty acyl-CoA reductase 1 disorder	22	14	0	HP:0000252;HP:0001250	ORPHA:438178	
5.4	OMIM:614863	Peroxisome biogenesis disorder 4B	25	14	0	HP:0001250;HP:0002240	ORPHA:44,ORPHA:772,ORPHA:79189,ORPHA:95433	
5.4	OMIM:614741	Mitochondrial pyruvate carrier deficiency	21	14	0	HP:0001250;HP:0002240	ORPHA:447784	
5.4	OMIM:614678	Pontocerebellar hypoplasia, type 1B	28	14	0	HP:0001250;HP:0002093	ORPHA:2254	
5.4	OMIM:614230	Chromosome 8q21.11 deletion syndrome	44	34	0	HP:0000175	ORPHA:284160	
5.4	OMIM:613834	Multisystemic smooth muscle dysfunction syndrome	22	14	2	HP:0001631	ORPHA:404463	
5.4	OMIM:613161	Beta-ureidopropionase deficiency	29	14	0	HP:0000252;HP:0001250	ORPHA:65287	
5.4	OMIM:612447	Skeletal defects, genital hypoplasia, and impaired intellectual development	17	14	0	HP:0000252;HP:0004322	—	
5.4	OMIM:610188	Joubert syndrome 5	28	14	2	HP:0000175	ORPHA:2318,ORPHA:475	
5.4	OMIM:607694	Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/orhypogonadotropic hypogonadism	38	14	0	HP:0001250;HP:0004322	ORPHA:137639,ORPHA:289494,ORPHA:447893,ORPHA:447896,ORPHA:77295,ORPHA:88637	
5.4	OMIM:607196	Microcephaly, Amish type	22	14	0	HP:0001321;HP:0002240	ORPHA:99742	
5.4	OMIM:601198	Hypocalcemia, autosomal dominant 1	21	14	0	HP:0001250;HP:0004322	ORPHA:112,ORPHA:2238,ORPHA:428	
5.4	OMIM:601163	Diaphragmatic defects, limb deficiencies, and ossification defects of skull	15	14	0	HP:0000776;HP:0002089	ORPHA:2141	
5.4	OMIM:600705	Satoyoshi syndrome	19	14	0	HP:0001156;HP:0004322	ORPHA:3130	
5.4	OMIM:301078	Immunodeficiency 98 with autoinflammation, X-linked	24	14	0	HP:0001744;HP:0002240	ORPHA:675628	
5.4	OMIM:300934	Congenital disorder of glycosylation, type Iy	24	14	0	HP:0000252;HP:0001250	ORPHA:370927	
5.4	OMIM:300484	Orofaciodigital syndrome VIII	18	14	0	HP:0000175;HP:0004322	ORPHA:2755	
5.4	OMIM:270420	Diarrhea 3, secretory sodium, congenital, with or without other congenital anomalies	17	14	0	HP:0000175;HP:0001561	ORPHA:103908,ORPHA:563708	
5.4	OMIM:268650	Rudiger syndrome	17	14	0	HP:0001522;HP:0002007	ORPHA:3118	
5.4	OMIM:240500	Immunodeficiency, common variable, 2	25	14	0	HP:0001744;HP:0002240	ORPHA:696907	
5.4	OMIM:236750	Hydrops fetalis, nonimmune	6	4	3	HP:0001789	ORPHA:1041,ORPHA:163596,ORPHA:363999	
5.4	OMIM:231550	Achalasia-Addisonianism-Alacrima syndrome	28	14	0	HP:0000252;HP:0004322	ORPHA:869	dans syndromes
5.4	OMIM:217090	Plasminogen deficiency, type I	21	14	0	HP:0000238;HP:0001321	ORPHA:722	
5.4	OMIM:216100	Cleft lip/palate with abnormal thumbs and microcephaly	17	14	0	HP:0000252;HP:0004322	ORPHA:2319	
5.4	OMIM:205100	Amyotrophic lateral sclerosis 2, juvenile	52	14	0	HP:0000252;HP:0004322	ORPHA:300605	
5.4	OMIM:202400	Afibrinogenemia, congenitalhypofibrinogenemia, congenital, included	22	14	0	HP:0001522;HP:0003811	ORPHA:101041,ORPHA:335,ORPHA:98880	dans syndromes
5.4	OMIM:122430	Ramos-Arroyo syndrome	21	14	0	HP:0002007;HP:0004322	ORPHA:1051	
5.3	OMIM:620795	Autoinflammation with episodic fever and immune dysregulation	17	13	0	HP:0001744;HP:0002240	—	
5.3	OMIM:620712	Polydactyly-macrocephaly syndrome	20	13	0	HP:0000104;HP:0001631	ORPHA:726703	
5.3	OMIM:620161	Congenital myopathy 15	18	13	0	HP:0001558;HP:0001561	—	
5.3	OMIM:619652	Immunodeficiency 92	22	13	0	HP:0002090;HP:0002240	ORPHA:697394	
5.3	OMIM:619090	Developmental delay, impaired growth, dysmorphic facies, and axonal neuropathy	23	13	0	HP:0000252;HP:0004322	—	
5.3	OMIM:619072	Neurodevelopmental disorder with seizures and brain atrophy	21	13	0	HP:0000252;HP:0001321	ORPHA:528084	dans syndromes
5.3	OMIM:619053	Mitochondrial complex IV deficiency, nuclear type 10	15	13	0	HP:0001562;HP:0002240	ORPHA:254905	
5.3	OMIM:618924	Episodic ataxia, type 9	18	3	3	HP:0001250	—	
5.3	OMIM:618437	Epileptic encephalopathy, early infantile, 75	33	23	1	HP:0001250	ORPHA:442835	
5.3	OMIM:618116	Bone marrow failure syndrome 4	17	13	0	HP:0000252;HP:0004322	ORPHA:508542	
5.3	OMIM:618021	Tetraamelia syndrome 2	16	13	0	HP:0000175;HP:0001629	ORPHA:3301	
5.3	OMIM:618010	Glycosylphosphatidylinositol biosynthesis defect 17	25	13	0	HP:0000252;HP:0001250	—	
5.3	OMIM:617784	Fanconi anemia, complementation group W	18	13	0	HP:0000252;HP:0001511	—	
5.3	OMIM:617711	Developmental and epileptic encephalopathy 91	37	13	0	HP:0001250;HP:0004322	ORPHA:442835	
5.3	OMIM:616816	Hypotonia, infantile, with psychomotor retardation	18	13	0	HP:0001558;HP:0001629	ORPHA:467176	
5.3	OMIM:615031	Neuropathy, hereditary sensory and autonomic, type IX, with developmental delay	25	13	0	HP:0000252;HP:0004322	ORPHA:320385	
5.3	OMIM:614831	Spinocerebellar ataxia, autosomal recessive 13	32	13	0	HP:0001250;HP:0004322	ORPHA:324262,ORPHA:363429	
5.3	OMIM:614501	Psychomotor retardation, epilepsy, and craniofacial dysmorphism	31	23	1	HP:0001250	—	
5.3	OMIM:614470	RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic	19	13	0	HP:0001744;HP:0002240	ORPHA:268114	dans syndromes
5.3	OMIM:614457	Ichthyosis, spastic quadriplegia, and impaired intellectual development	28	13	0	HP:0000252;HP:0001250	ORPHA:352333	
5.3	OMIM:614438	Cutis laxa, autosomal recessive, type IIIB	37	33	0	HP:0001511	ORPHA:293633,ORPHA:2962	
5.3	OMIM:612840	Leukocyte adhesion deficiency, type III	19	13	0	HP:0001744;HP:0002240	ORPHA:2968,ORPHA:99844	
5.3	OMIM:612714	Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarialhyperostosis	19	13	0	HP:0001744;HP:0002240	ORPHA:199337	
5.3	OMIM:612079	Alopecia, neurologic defects, and endocrinopathy syndrome	21	13	0	HP:0000252;HP:0004322	ORPHA:157954	
5.3	OMIM:606854	Polymicrogyria, bilateral frontoparietal	23	13	0	HP:0001250;HP:0001321	ORPHA:101070,ORPHA:268940	
5.3	OMIM:603903	Sickle cell anemia	20	13	0	HP:0001744;HP:0002240	ORPHA:232	
5.3	OMIM:300114	Raynaud-Claes syndrome	32	13	0	HP:0000252;HP:0001250	ORPHA:485350	
5.3	OMIM:264700	Vitamin D hydroxylation-deficient rickets, type 1A	55	33	0	HP:0002007	ORPHA:289157	
5.3	OMIM:261640	Hyperphenylalaninemia, BH4-deficient, A	30	13	0	HP:0000252;HP:0001250	ORPHA:13,ORPHA:238583	
5.3	OMIM:256000	Leigh syndrome	35	13	0	HP:0001250;HP:0002093	ORPHA:506	
5.3	OMIM:247410	Lymphedema-Hypoparathyroidism syndrome	16	13	0	HP:0001156;HP:0004322	ORPHA:1563	
5.3	OMIM:191830	Renal hypodysplasia/aplasia 1	17	13	0	HP:0001562;HP:0002089	ORPHA:1848,ORPHA:411709	
5.2	OMIM:621481	Mitochondrial DNA depletion syndrome 14A (encephalomyopathic type)	29	12	0	HP:0001250;HP:0001511	—	
5.2	OMIM:621250	Developmental and epileptic encephalopathy 118	67	32	0	HP:0000252	—	
5.2	OMIM:620953	Methylmalonic aciduria, cblD type	18	12	0	HP:0001250;HP:0001622	—	
5.2	OMIM:620836	Immunodeficiency 120	24	12	0	HP:0000252;HP:0004322	ORPHA:718047	
5.2	OMIM:620789	Aplasia cutis-enamel dysplasia syndrome	23	12	0	HP:0001250;HP:0001511	ORPHA:697356	
5.2	OMIM:620653	Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly	25	12	0	HP:0000238;HP:0001250	—	
5.2	OMIM:620141	Developmental delay, language impairment, and ocular abnormalities	28	12	0	HP:0000252;HP:0004322	ORPHA:662762	
5.2	OMIM:619981	Braddock-Carey syndrome 2	15	12	0	HP:0000175;HP:0000252	ORPHA:261323	
5.2	OMIM:619548	Usmani-Riazuddin syndrome, autosomal recessive	19	12	0	HP:0001250;HP:0001274	ORPHA:528084	dans syndromes
5.2	OMIM:619375	Autoinflammatory syndrome, familial, with or without immunodeficiency	22	12	0	HP:0001744;HP:0002240	ORPHA:619948	
5.2	OMIM:619243	Global developmental delay with speech and behavioral abnormalities	25	12	0	HP:0000252;HP:0001250	ORPHA:528084	dans syndromes
5.2	OMIM:618877	Leukoencephalopathy, developmental delay, and episodic neurologic regression syndrome	29	12	0	HP:0000252;HP:0001250	—	
5.2	OMIM:618724	Heyn-Sproul-Jackson syndrome	16	12	0	HP:0000252;HP:0001511	ORPHA:658595	
5.2	OMIM:618165	Bone marrow failure syndrome 5	21	12	0	HP:0000252;HP:0004322	ORPHA:726036	
5.2	OMIM:617976	Epileptic encephalopathy, early infantile, 63	34	12	0	HP:0000175;HP:0001250	ORPHA:86909	
5.2	OMIM:617099	Autoinflammation, panniculitis, and dermatosis syndrome	21	12	4		ORPHA:500062	
5.2	OMIM:616657	Spastic tetraplegia, thin corpus callosum, and progressive microcephaly	26	12	0	HP:0000252;HP:0001250	ORPHA:447997	
5.2	OMIM:615501	Molybdenum cofactor deficiency, complementation group C	24	12	0	HP:0001321;HP:0003811	ORPHA:308400,ORPHA:833,ORPHA:99732	
5.2	OMIM:615234	Anemia, hypochromic microcytic, with iron overload 2	18	12	0	HP:0001744;HP:0002240	ORPHA:300298	
5.2	OMIM:615119	Mitochondrial complex IV deficiency, nuclear type 6	20	12	0	HP:0000252;HP:0001558	ORPHA:1561	
5.2	OMIM:614458	Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type)	32	12	0	HP:0000252;HP:0001250	ORPHA:293955	
5.2	OMIM:614262	Arthrogryposis, perthes disease, and upward gaze palsy	14	12	0	HP:0001629;HP:0001631	—	
5.2	OMIM:613027	Glycogen storage disease IXc	22	12	0	HP:0001744;HP:0002240	ORPHA:264580	
5.2	OMIM:612847	Brachyolmia 4 with mild epiphyseal and metaphyseal changes	14	12	0	HP:0001156;HP:0004322	ORPHA:93282	
5.2	OMIM:612394	Bone fragility with contractures, arterial rupture, and deafness	41	32	0	HP:0001511	ORPHA:300284	
5.2	OMIM:609165	Erythroderma, ichthyosiform, congenital reticular	15	12	2	HP:0004322	ORPHA:281190	
5.2	OMIM:607317	Spinocerebellar ataxia, autosomal recessive 4	33	12	0	HP:0000252;HP:0001250	ORPHA:95434	
5.2	OMIM:606220	Intellectual developmental disorder with short stature, facial anomalies, and speech defects	23	12	0	HP:0000252;HP:0004322	—	
5.2	OMIM:602390	Hemochromatosis, type 2A	18	12	0	HP:0001744;HP:0002240	ORPHA:79230	
5.2	OMIM:602347	Cholestasis, progressive familial intrahepatic, 3	17	12	0	HP:0001744;HP:0002240	ORPHA:172,ORPHA:79305	
5.2	OMIM:301114	Lui-Jee-Baron syndrome	15	12	0	HP:0001744;HP:0002240	—	
5.2	OMIM:300860	Intellectual developmental disorder, X-linked syndromic, Nascimento type	41	32	0	HP:0001250	ORPHA:163956	
5.2	OMIM:300801	Chromosome xp11.23-p11.22 duplication syndrome	33	22	1	HP:0002007	ORPHA:217377	
5.2	OMIM:300578	Chromosome xp11.3 deletion syndrome	25	12	0	HP:0000252;HP:0004322	ORPHA:85332	
5.2	OMIM:300322	Lesch-Nyhan syndrome	30	12	0	HP:0001250;HP:0004322	ORPHA:510	
5.2	OMIM:300106	Spondyloepimetaphyseal dysplasia, X-linked	45	32	0	HP:0001156	ORPHA:93349	
5.2	OMIM:261680	Phosphoenolpyruvate carboxykinase deficiency, cytosolic	23	12	0	HP:0001250;HP:0002240	ORPHA:2880	
5.2	OMIM:259410	Osteogenesis imperfecta congenita, microcephaly, and cataracts	14	12	0	HP:0000252;HP:0003826	ORPHA:2772	
5.2	OMIM:214900	Cholestasis-Lymphedema syndrome	13	12	0	HP:0001744;HP:0002240	ORPHA:1414	
5.2	OMIM:207950	Chiari malformation type II	21	12	0	HP:0000238;HP:0001274	—	
5.2	OMIM:185000	Overhydrated hereditary stomatocytosis	15	12	0	HP:0001744;HP:0002240	ORPHA:3203	
5.2	OMIM:141400	Hemifacial microsomia with radial defects	14	12	0	HP:0000175;HP:0000202	ORPHA:2549	
5.2	OMIM:105200	Amyloidosis, familial visceral	15	12	0	HP:0001744;HP:0002240	ORPHA:314652,ORPHA:85450,ORPHA:93560,ORPHA:93561,ORPHA:93562	
5.1	OMIM:620538	Spastic paraplegia 91, autosomal dominant, with or without cerebellar ataxia	31	11	0	HP:0000252;HP:0001250	—	
5.1	OMIM:620439	Intellectual developmental disorder, autosomal dominant 72	35	21	1	HP:0000252	ORPHA:652487	
5.1	OMIM:620021	Intellectual developmental disorder with autism and dysmorphic facies	22	11	0	HP:0000175;HP:0001250	—	
